DA,curr_acc,tot_acc,score,Marginalization Group
14071807,129955,361260,0.6875,3
13464926,1745,135075,0.8125,5
13457452,71865,216485,0.5625,2
13459654,125735,315450,0.625,3
13459480,125925,318215,0.8125,5
13459525,63690,279785,0.625,3
13459855,55515,205990,0.6875,3
13455649,89895,333460,0.25,1
13459624,120510,441620,0.6875,3
13457486,146290,338130,0.375,1
13453362,13290,234565,0.25,1
13452966,13290,209565,0.25,1
13452157,10330,216200,0.25,1
13460198,59725,306005,0.75,4
13460736,111550,305090,0.625,3
14048428,144310,300120,0.8125,5
30029790,330,55715,0.6875,3
13461932,25485,123625,0.625,3
13465290,117810,365135,0.5625,2
13462383,24635,165170,0.5,2
13462180,19125,182120,0.625,3
